"Time (s) Run #1","Position (m) Run #1","Velocity (m/s) Run #1","Acceleration (m/s²) Run #1"
27.100,0.29,-0.17,-0.27
27.150,0.28,-0.17,0.30
27.200,0.27,-0.14,0.78
27.250,0.26,-0.09,1.12
27.300,0.26,-0.02,1.31
27.350,0.26,0.05,1.31
27.400,0.26,0.12,1.07
27.450,0.27,0.17,0.57
27.500,0.28,0.18,-0.06
27.550,0.29,0.16,-0.64
27.600,0.30,0.11,-1.06
27.650,0.30,0.05,-1.28
27.700,0.30,-0.03,-1.30
27.750,0.30,-0.09,-1.11
27.800,0.29,-0.14,-0.73
27.850,0.29,-0.17,-0.21
27.900,0.28,-0.17,0.35
27.950,0.27,-0.13,0.84
28.000,0.26,-0.08,1.22
28.050,0.26,-0.01,1.41
28.100,0.26,0.08,1.31
28.150,0.27,0.14,0.89
28.200,0.28,0.17,0.28
28.250,0.29,0.17,-0.29
28.300,0.29,0.13,-0.76
28.350,0.30,0.09,-1.09
28.400,0.30,0.02,-1.22
28.450,0.30,-0.05,-1.17
28.500,0.30,-0.10,-0.94
28.550,0.29,-0.14,-0.58
28.600,0.28,-0.16,-0.11
28.650,0.27,-0.15,0.42
28.700,0.27,-0.12,0.88
28.750,0.26,-0.06,1.17
28.800,0.26,0.01,1.24
28.850,0.26,0.07,1.10
28.900,0.27,0.12,0.84
28.950,0.28,0.16,0.44
29.000,0.28,0.18,-0.12
29.050,0.29,0.15,-0.74
29.100,0.30,0.09,-1.19
29.150,0.30,0.02,-1.31
29.200,0.30,-0.05,-1.20
29.250,0.30,-0.10,-0.96
29.300,0.29,-0.15,-0.59
29.350,0.28,-0.17,-0.07
29.400,0.27,-0.16,0.50
29.450,0.27,-0.12,0.96
29.500,0.26,-0.06,1.23
29.550,0.26,0.01,1.29
29.600,0.26,0.08,1.11
29.650,0.27,0.13,0.73
29.700,0.28,0.16,0.25
29.750,0.29,0.16,-0.24
29.800,0.29,0.13,-0.71
29.850,0.30,0.08,-1.07
29.900,0.30,0.02,-1.24
29.950,0.30,-0.05,-1.19
30.000,0.30,-0.11,-0.93
30.050,0.29,-0.15,-0.51
30.100,0.28,-0.16,-0.02
30.150,0.27,-0.15,0.47
30.200,0.27,-0.11,0.90
30.250,0.26,-0.05,1.20
30.300,0.26,0.02,1.28
30.350,0.26,0.08,1.09
30.400,0.27,0.13,0.70
30.450,0.28,0.16,0.21
30.500,0.29,0.15,-0.31
30.550,0.29,0.12,-0.66
30.600,0.30,0.07,-0.85
30.650,0.30,0.04,-1.06
30.700,0.30,-0.02,-1.31
30.750,0.31,-0.10,-1.28
30.800,0.29,-0.18,-0.65
30.850,0.28,-0.19,0.18
30.900,0.27,-0.13,0.74
30.950,0.27,-0.09,0.95
31.000,0.26,-0.05,1.07
31.050,0.26,0.02,1.15
31.100,0.27,0.08,1.01
31.150,0.27,0.13,0.70
31.200,0.28,0.15,0.29
31.250,0.29,0.16,-0.16
