LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),(pixel),(pixel),(pixel),(frame),,(pixel),,,(counts),(counts),(counts),(counts),(counts),(counts),,,(pixel),(pixel),(pixel),(pixel),(radians),,(pixel^2),(pixel),,,
ID2277,2277,0,370.0,70.35300768882858,686.9798733604704,0.0,69.0,69,10.830382867596459,1,,253.6178861788618,255.0,0.0,255.0,93585.0,18.747834798985565,0.9837619594195671,13.417117504934374,0.04989679872758886,0.003505331338730611,11.446227820370188,10.538418893889649,0.9984282327075944,1.0861428014601795,368.50000000000006,71.64123720806967,0.9022381809474093,0.974867724867725,3.732023168469659
ID2272,2272,0,389.0,71.12418725617685,709.0075856090161,0.0,70.0,70,11.063008236355403,1,,253.67532467532467,255.0,0.0,255.0,97665.0,18.355177487140192,0.9758934032230834,13.651755553567384,-0.027658788838877443,0.06967497496377204,11.639309277152789,10.75252216566584,1.142092766057429,1.082472474627262,384.49999999999994,72.06930977717731,0.9302624320588931,0.9846350832266322,3.675379517131697
ID2271,2271,0,394.0,71.42653927813164,731.5059447983015,0.0,71.0,71,11.177505550306734,1,,251.10687022900763,255.0,0.0,255.0,98685.0,31.30631706850558,0.9931243295729276,7.993295015929396,0.022808967422298442,0.06826674199570133,11.559687863326918,11.038846379939182,1.090004923647048,1.0471826009223444,392.49999999999994,73.10239949748691,0.9229671847129841,0.9775840597758406,3.6898762557713107
ID2273,2273,0,403.0,71.71529509559434,753.9966749792187,0.0,72.0,72,11.297887606083718,1,,254.3640897755611,255.0,0.0,255.0,102000.0,12.73409232069256,0.991701244813278,19.891817415983677,0.03395909134192481,0.18069615841403355,11.99270982797413,11.031377279592787,1.4188019817659536,1.0871452878472152,401.0,74.75264883725488,0.9017809650834201,0.975669099756691,3.732969143176125
ID2275,2275,0,407.0,72.09482758620689,777.3341543513958,0.0,73.0,73,11.368105109938904,1,,252.4814814814815,255.0,0.0,255.0,102255.0,25.247836448387478,0.9884580857521481,9.942078195620363,0.004189516317024933,-0.032155414278775274,11.638889351738076,11.239661381777228,0.7256503021269939,1.0355195727344697,406.0,74.16499827176969,0.9275512514723023,0.9759615384615384,3.6807470624270717
ID2270,2270,0,405.0,72.48150431565968,800.8933415536375,0.0,74.0,74,11.361102888695582,1,,251.85185185185185,255.0,0.0,255.0,102000.0,28.192720389283057,0.9884152134604187,8.881176562728305,0.0323570514524319,-0.005422747733452807,11.78433154598002,11.18886039873878,-1.5567069940849347,1.0532199997158211,405.4999999999999,74.60538947584274,0.9155041529215864,0.9830303030303028,3.704885347062163
ID2278,2278,0,413.0,72.76343434343434,824.811111111111,0.0,75.0,75,11.458744610593854,1,,253.7621359223301,255.0,0.0,255.0,104550.0,17.745064720857403,0.9935248505470284,14.253985402532038,0.08446953360709217,-0.020229888733584823,11.8390417460931,11.391054638461188,1.458704679967131,1.0393279746125799,412.5000000000001,75.05958847026353,0.9200712472397828,0.9809750297265164,3.6956786628399483
ID2274,2274,0,417.0,73.26127744510978,849.2776447105789,0.0,76.0,76,11.527982368208784,1,,254.3884892086331,255.0,0.0,255.0,106080.0,12.487403725296994,0.9952095670804207,20.32269608224616,0.10546501291799763,0.09729082028955913,11.910346966276675,11.49954732514806,-1.5031500121814683,1.0357231140942609,417.5,75.72732534598717,0.9148736257623069,0.9788980070339978,3.706161823075072
ID2276,2276,0,416.0,73.7987117552335,873.9742351046698,0.0,77.0,77,11.479559785988718,1,,254.37956204379563,255.0,0.0,255.0,104550.0,12.578222403508313,0.9839869090059026,20.060578820485674,0.04216951195135369,-0.03633832379096059,11.747436905911956,11.487686921853504,-0.4019549402390733,1.022611164965187,414.0,74.67743793904388,0.9328920368182249,0.985714285714286,3.6701958434561868
ID2280,2280,0,427.0,73.8368710691824,898.9536163522013,0.0,78.0,78,11.617374563210365,1,,251.98581560283688,255.0,0.0,255.0,106590.0,27.59223716701194,0.9842142385329318,9.059834369667247,0.01854172793449973,0.032067956437955146,11.834955279814965,11.585691838897654,-1.0768658471665877,1.0215147653142678,424.0,76.40488181441819,0.9127114610370141,0.9735935706084959,3.710549076071101
ID2282,2282,0,425.0,74.10598988720342,924.6186308829249,0.0,79.0,79,11.678860656320646,1,,249.65034965034965,255.0,0.0,255.0,107100.0,36.58773709480545,0.9936635242768995,6.801647323197939,-0.08600253870670659,-9.077098774829274E-4,12.165872705543515,11.677556353117119,-1.4951735014591567,1.0418166556135735,428.49999999999994,75.70499449938369,0.9395321065820941,0.9873271889400922,3.657203435848563
ID2288,2288,0,429.0,74.33076923076923,950.5051282051282,0.0,80.0,80,11.596806754993011,1,,251.9929245283019,255.0,0.0,255.0,106845.0,27.55999167831365,0.9873071587138393,9.085033841635802,0.05828941912793391,0.005884390375650001,11.950091124419858,11.594144448136612,-0.12261359769246158,1.030700555601621,422.49999999999994,75.94574027441767,0.9205126007892157,0.9723820483314152,3.6947925823806305
ID2279,2279,0,425.0,74.89513325608343,976.6440710699112,0.0,81.0,81,11.719672174950363,1,,252.0210280373832,255.0,0.0,255.0,107865.0,27.432130887513562,0.9968783590233565,9.172712632556948,0.01704970558430923,-0.00679079282647182,12.297567905245616,11.559438488996406,1.7521870852722945,1.063855127301542,431.5000000000002,76.74402873294062,0.920664666375933,0.9829157175398637,3.694487436530894
ID2281,2281,0,435.0,75.01290812452542,1003.2873955960516,0.0,82.0,82,11.821084554078958,1,,253.24942791762012,255.0,0.0,255.0,110670.0,21.079568152106457,0.9939022475868878,11.977234952076778,-0.042949747712178035,0.0038701891811880117,12.052969759845771,11.778733986205422,-1.5356493518783803,1.0232822792297982,439.0,77.21186025385956,0.9253506882557178,0.9865168539325843,3.6851210294863446
ID2283,2283,0,439.0,75.19362186788155,1030.1913439635534,0.0,83.0,83,11.82108455407896,1,,253.24942791762012,255.0,0.0,255.0,110670.0,21.079568152106457,0.9939022475868878,11.977234952076778,0.027666369426280635,0.14572134908199613,12.307738781682053,11.686719504818461,-1.2376138424374188,1.0531388878296895,439.0000000000001,76.95978285745261,0.9314224831207792,0.9865168539325845,3.6730900317678175
ID2284,2284,0,448.0,75.50443458980044,1057.560975609756,0.0,84.0,84,11.98155910843366,1,,251.0421286031042,255.0,0.0,255.0,113220.0,31.55630592225573,0.9940119760479043,7.931481237178269,-0.04998927902247608,0.045123816451069484,12.24338234885955,11.971491386481292,1.5464027490192283,1.0227115363993236,451.0,79.11033692077646,0.9055656441591926,0.9719827586206896,3.7251602765318603
